ID,ROOM,TYPE,DESCRIPTION,IMG,QUANTITY,PRICE,BRAND,DIMENSION,AVAIL,NOTES,THUMBNAIL
Fl3-library-organ-ottoman,Living space,Furniture,Upholstered top with wooden and weaved base,IMG_1521.jpg,1.0,423,Dan Rak Design Purchased,,Y,,
Fl3-library-grey-arm-chair,Living space,Furniture,Light grey fabric,IMG_1522.jpg,2.0,711,Dan Rak Design Purchased,,Reserved by BA,buyer agent,
Fl3-library-desk,Office,Furniture,Parson custom desk,IMG_1523.jpg,1.0,"1,429",Room&Board,72W x 30H x 26D (in),Reserved by Maria,MM also wants it,
Fl3-library-lounge-chair,Living space,Furniture,Orange fabric tilton recliner lounge chair with round chrome metal base,IMG_1524.jpg,2.0,"1,500",Mitchell Gold + Bob Williams,31W x 39H x 38D (in),Reserved by Maria,,
Fl3-library-art-collage,Living space,Art,Collage of 3 pieces with green and orange color tone,IMG_1677.jpg,3.0,"1,328",,,Reserved by BA,buyer agent,
Fl3-library-art-profile-blue-green-gold,Living space,Art,Blue-teal fluid brushstrokes on white with warm brown undertones,IMG_1525.jpg,1.0,568,,,Y,,
Fl3-library-coffee-table,Living space,Furniture,Dark grey multi-facet glossy coffee table,IMG_1526.jpg,1.0,816,Dan Rak Design Purchased,,Y,,
Fl3-library-end-table,Living space,Furniture,Wooden end table,IMG_1528.jpg,2.0,278,Dan Rak Design Purchased,,Y,,
Fl3-library-sofa,Living space,Furniture,Blue velvet couch,IMG_1528.jpg,1.0,"1,200",Westelm,,Reserved by Maria,,
Fl3-library-rug,Living space,Furniture,Multi-color diamond patterned contemporary area rug,IMG_1526.jpg,1.0,"1,505",Dan Rak Design Purchased,,Y,,
Fl3-library-desk-lamp,Office,Lighting,Pablo pixo desk lamp,IMG_1528.jpg,1.0,360,Pablo,,Y,,
Fl3-library-floor-lamp,Living space,Lighting,Tri-Plex Floor Lamp,IMG_1524.jpg,1.0,499,Room&Board,,Y,,
Fl3-library-table-lamp,Living space,Lighting,White lamp shade with white ceramic base,IMG_1527.jpg,1.0,270,Dan Rak Design Purchased,,Y,,
